PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,THPM,THPA,THPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD,TD,PLMIN,LOOKUP
LINDSAY ALLEN,CHI,29,40,13,27,23.8,6.6,2.6,5.6,46.6,0.4,1.2,29.2,1.1,1.3,80.8,0.3,1.7,2.0,3.9,1.6,0.8,0.2,1.7,14.8,0,0,-0.2,1628263
ISABELLE HARRISON,CHI,31,36,11,25,16.3,6.5,2.6,6.6,39.9,0.1,0.5,16.7,1.1,1.4,82.0,1.1,2.9,3.9,0.8,1.1,0.6,0.3,1.3,13.0,3,0,-4.8,204330
TEMI FAGBENLE,IND,32,22,8,14,18.9,6.4,2.6,5.2,50.9,0.1,0.5,16.7,1.0,1.3,78.6,1.4,3.3,4.7,0.9,1.2,0.5,0.7,3.0,14.5,1,0,0.4,1627701
COURTNEY VANDERSLOOT,NYL,35,31,24,7,22.3,6.4,2.6,5.9,44.5,0.6,2.2,26.9,0.5,1.0,54.8,0.4,2.2,2.6,4.8,1.8,0.8,0.5,1.7,16.9,1,0,4.7,202664
EMILY ENGSTLER,WAS,24,32,14,18,14.5,6.2,2.4,4.8,49.4,0.8,1.8,47.4,0.6,0.7,81.8,1.4,2.6,4.0,1.5,0.7,0.6,0.8,1.5,15.2,1,0,0.0,1631083
ALYSHA CLARK,LVA,37,40,27,13,24.3,6.0,2.1,4.8,44.3,1.2,3.2,37.3,0.6,0.7,82.1,0.5,3.1,3.6,1.8,1.4,0.8,0.3,2.7,14.8,0,0,4.5,202252
RAE BURRELL,LAS,24,37,7,30,15.7,5.9,1.6,4.4,36.2,0.6,1.9,33.3,2.1,2.7,78.0,0.6,1.3,1.8,1.1,1.0,0.8,0.3,1.6,11.7,0,0,-2.4,1630996
NAZ HILLMON,ATL,24,40,15,25,21.7,5.7,2.3,4.1,55.2,0.0,0.1,33.3,1.2,1.6,76.2,1.6,3.2,4.8,1.3,1.0,0.7,0.3,1.4,13.8,1,0,0.1,1631044
KALANI BROWN,DAL,27,39,9,30,13.2,5.7,2.4,4.1,58.2,0.0,0.1,0.0,1.0,1.5,66.1,1.1,1.9,3.1,1.1,1.2,0.2,0.6,1.6,11.3,0,0,-2.5,1629480
RACHEL BANHAM,CHI,31,37,18,19,15.8,5.7,1.9,5.5,35.1,1.4,3.8,36.6,0.4,0.5,80.0,0.2,1.2,1.4,1.1,0.5,0.4,0.2,1.6,10.7,0,0,-1.2,1627671
KAYLA THORNTON,NYL,32,40,32,8,20.2,5.5,1.9,5.1,37.9,1.1,3.2,35.7,0.6,0.7,84.6,1.0,1.6,2.6,0.7,0.6,0.7,0.2,1.4,11.8,0,0,2.7,203866
LEXIE HULL,IND,25,34,17,17,19.7,5.5,1.8,4.0,44.1,1.0,2.1,47.1,1.0,1.2,80.5,1.0,1.5,2.5,1.1,0.9,0.6,0.3,2.5,11.9,0,0,0.7,1631086
JACY SHELDON,DAL,24,40,9,31,23.3,5.4,2.0,5.3,38.6,0.8,2.4,30.9,0.6,0.7,92.6,0.7,1.4,2.1,2.5,1.6,0.6,0.3,2.5,12.5,0,0,-5.8,1642292
JADE MELBOURNE,WAS,22,37,14,23,14.2,5.4,1.9,4.5,43.4,0.5,1.5,35.7,0.9,1.3,71.4,0.4,1.1,1.5,1.6,1.7,0.6,0.1,1.5,10.6,0,0,-0.4,1631141
MAYA CALDWELL,ATL,25,25,9,16,16.2,5.2,2.1,5.0,41.6,0.6,2.0,30.0,0.5,0.6,80.0,0.8,1.0,1.8,1.1,0.9,0.6,0.2,1.2,10.3,0,0,-4.2,1630471
LI YUERU,LAS,25,38,7,31,14.4,5.1,1.8,3.9,46.3,0.1,0.4,26.7,1.4,1.6,89.8,1.4,2.2,3.7,0.6,0.9,0.3,0.2,2.1,10.6,1,0,-2.4,1629574
SAMI WHITCOMB,SEA,36,40,25,15,15.3,5.0,1.8,5.2,34.6,1.2,4.0,29.2,0.2,0.3,81.8,0.4,1.5,1.9,1.6,1.0,0.8,0.2,1.4,11.6,0,0,1.0,1628244
NYARA SABALLY,NYL,24,26,20,6,13.5,4.9,1.9,3.3,57.5,0.0,0.1,0.0,1.1,1.5,70.0,1.3,2.7,4.0,0.6,0.5,0.9,0.7,1.6,12.8,1,0,2.8,1631055
TIFFANY MITCHELL,CON,30,24,18,6,16.3,4.9,1.6,4.5,34.9,0.3,1.0,25.0,1.5,1.9,78.3,0.5,1.1,1.5,0.8,0.6,0.5,0.0,1.2,8.5,0,0,2.6,1627676
NATISHA HIEDEMAN,MIN,27,40,30,10,15.2,4.9,1.8,4.8,38.0,0.6,2.1,28.0,0.6,0.9,73.5,0.4,1.2,1.6,2.4,1.1,0.8,0.2,1.2,11.3,0,0,-0.5,1629567
DORKA JUHÁSZ,MIN,24,34,26,8,16.1,4.8,2.0,4.2,47.9,0.3,1.0,32.4,0.4,0.6,65.0,0.9,2.9,3.8,1.1,0.6,0.4,0.4,1.1,11.6,1,0,1.9,1641657
KRISTY WALLACE,IND,28,26,11,15,17.2,4.7,1.8,4.5,40.2,0.7,2.2,29.3,0.5,0.7,66.7,0.4,1.4,1.8,1.7,0.7,0.7,0.2,1.1,10.8,0,0,-3.2,1628929
CECILIA ZANDALASINI,MIN,28,40,30,10,12.2,4.6,1.7,3.7,45.3,0.8,1.8,44.3,0.5,0.7,62.1,0.1,1.0,1.2,1.1,0.8,0.4,0.2,1.4,8.8,0,0,0.2,1628508
DIAMOND DESHIELDS,CHI,29,32,11,21,13.8,4.5,1.8,5.0,34.8,0.3,1.6,17.3,0.7,1.1,61.1,0.2,1.2,1.4,1.3,0.9,0.6,0.3,1.6,9.3,0,0,-3.9,1628890
DAMIRIS DANTAS,IND,31,20,12,8,10.5,4.5,1.7,3.7,45.9,0.7,1.7,39.4,0.4,0.6,66.7,0.2,2.0,2.2,0.6,0.6,0.3,0.3,1.0,8.9,0,0,1.1,203024
SEVGI UZUN,DAL,26,40,9,31,20.5,4.4,1.7,5.0,34.2,0.5,2.1,23.8,0.5,0.6,82.6,0.2,1.4,1.6,3.0,1.8,0.9,0.3,1.5,11.9,0,0,-2.8,1642244
LAYSHIA CLARENDON,LAS,33,21,5,16,15.9,4.3,1.5,3.6,42.7,0.3,1.0,35.0,1.0,1.1,87.0,0.3,1.5,1.8,2.6,1.2,0.7,0.0,2.1,10.6,1,1,-2.2,203406
KATIE LOU SAMUELSON,IND,27,37,18,19,18.2,4.3,1.4,3.9,34.9,0.9,2.7,33.0,0.6,0.7,96.0,0.5,1.8,2.3,1.4,0.5,0.3,0.2,1.4,10.0,0,0,-2.3,1629478
DESTANNI HENDERSON,ATL,25,6,0,6,17.5,4.0,1.7,4.8,34.5,0.2,1.7,10.0,0.5,1.2,42.9,0.0,2.0,2.0,2.5,1.7,0.3,0.2,0.8,9.7,0,0,-2.7,1631089
SIKA KONÉ,WAS,22,27,19,8,8.0,4.0,1.3,3.1,42.9,0.1,0.3,57.1,1.1,1.3,86.1,0.5,1.5,2.0,0.4,0.5,0.2,0.1,0.9,7.2,0,0,1.0,1631021
MERCEDES RUSSELL,SEA,29,37,25,12,15.8,3.9,1.7,3.2,51.7,0.0,0.0,0.0,0.6,0.9,63.6,0.7,2.3,3.0,0.8,0.7,0.6,0.2,1.2,9.4,0,0,0.9,1628920
HALEY JONES,ATL,23,40,15,25,17.8,3.9,1.5,3.7,39.7,0.2,0.7,21.4,0.8,1.2,70.2,0.3,2.0,2.2,2.1,1.7,0.4,0.3,2.0,9.6,0,0,-2.4,1641650
NATASHA MACK,PHO,26,40,19,21,15.5,3.8,1.8,3.1,57.3,0.0,0.1,0.0,0.3,0.5,57.9,1.5,3.5,5.0,1.1,0.7,0.7,1.2,1.4,13.6,0,0,-2.1,1630442
MEGAN GUSTAFSON,LVA,27,38,25,13,10.7,3.7,1.4,2.8,50.0,0.6,1.5,38.6,0.3,0.4,76.5,0.6,1.3,1.9,0.2,0.4,0.3,0.1,1.6,7.4,0,0,1.3,1629484
ERICA WHEELER,IND,33,39,20,19,14.0,3.6,1.5,3.6,41.1,0.4,1.3,28.8,0.3,0.3,84.6,0.2,1.2,1.4,1.8,0.9,0.4,0.1,1.2,8.2,0,0,-1.2,204365
ZIA COOKE,LAS,23,29,6,23,8.9,3.6,1.2,3.9,32.1,0.4,1.3,29.7,0.7,1.0,69.0,0.1,0.5,0.6,0.6,0.7,0.3,0.1,0.8,6.0,0,0,-2.0,1641660
STEPHANIE TALBOT,LAS,30,37,8,29,16.2,3.5,1.3,3.4,39.5,0.4,1.4,26.0,0.5,0.8,69.0,0.6,2.2,2.7,2.1,1.0,0.5,0.5,1.4,10.6,0,0,-1.4,203855
